Modelo,Classe,AUC,F1,Recall
Random Forest (individual),Baixo risco,0.981663904017681,0.8990825688073395,0.9560975609756097
Random Forest (individual),Medio risco,0.8752019386106623,0.6589327146171694,0.696078431372549
Random Forest (individual),Alto risco,0.8808688565252827,0.7830551989730423,0.7367149758454107
XGBoost (individual),Baixo risco,0.9826505643697213,0.9166666666666666,0.9658536585365853
XGBoost (individual),Medio risco,0.8773401121353227,0.6666666666666666,0.6176470588235294
XGBoost (individual),Alto risco,0.8837036249601362,0.8181818181818182,0.8260869565217391
Ensemble - Hard voting,Baixo risco,,0.9078341013824884,0.9609756097560975
Ensemble - Hard voting,Medio risco,,0.6716791979949874,0.6568627450980392
Ensemble - Hard voting,Alto risco,,0.8118081180811808,0.7971014492753623
Ensemble - Soft voting,Baixo risco,0.9825716315415581,0.9078341013824884,0.9609756097560975
Ensemble - Soft voting,Medio risco,0.8779182109031012,0.6716791979949874,0.6568627450980392
Ensemble - Soft voting,Alto risco,0.883461488489659,0.8118081180811808,0.7971014492753623
