Modelo,Features,Classe,AUC,F1,Recall
Random Forest,Com demograficas,Baixo risco,0.9824769121477624,0.8930232558139535,0.9365853658536586
Random Forest,Com demograficas,Medio risco,0.8878646773733727,0.7005347593582888,0.6421568627450981
Random Forest,Com demograficas,Alto risco,0.896356731984456,0.8408551068883611,0.855072463768116
XGBoost,Com demograficas,Baixo risco,0.9852119346436184,0.8988235294117647,0.9317073170731708
XGBoost,Com demograficas,Medio risco,0.8921806202287053,0.7012987012987013,0.6617647058823529
XGBoost,Com demograficas,Alto risco,0.8907846402796971,0.8325358851674641,0.8405797101449275
Random Forest,Apenas comportamentais,Baixo risco,0.9801681269239877,0.8976744186046511,0.9414634146341463
Random Forest,Apenas comportamentais,Medio risco,0.8688943267129147,0.6524064171122995,0.5980392156862745
Random Forest,Apenas comportamentais,Alto risco,0.8656615050258082,0.8099762470308789,0.8236714975845411
XGBoost,Apenas comportamentais,Baixo risco,0.9799234351566817,0.892018779342723,0.926829268292683
XGBoost,Apenas comportamentais,Medio risco,0.8488707276125314,0.6105263157894737,0.5686274509803921
XGBoost,Apenas comportamentais,Alto risco,0.8428681950793145,0.780952380952381,0.7922705314009661
