Modelo,Features,Classe,AUC,F1,Recall
Random Forest,Comportamentais originais,Baixo risco,0.9801681269239876,0.8976744186046511,0.9414634146341464
Random Forest,Comportamentais originais,Medio risco,0.8688943267129147,0.6524064171122995,0.5980392156862745
Random Forest,Comportamentais originais,Alto risco,0.8656615050258082,0.8099762470308789,0.8236714975845411
XGBoost,Comportamentais originais,Baixo risco,0.9799234351566816,0.892018779342723,0.926829268292683
XGBoost,Comportamentais originais,Medio risco,0.8488707276125314,0.6105263157894737,0.5686274509803921
XGBoost,Comportamentais originais,Alto risco,0.8428681950793145,0.780952380952381,0.7922705314009661
Random Forest,Comportamentais + novas,Baixo risco,0.9808114294735181,0.8946135831381733,0.9317073170731708
Random Forest,Comportamentais + novas,Medio risco,0.8680034210776395,0.6701298701298701,0.6323529411764706
Random Forest,Comportamentais + novas,Alto risco,0.8714491572469674,0.8129496402877698,0.8188405797101449
XGBoost,Comportamentais + novas,Baixo risco,0.9814981450785382,0.8862559241706162,0.9121951219512195
XGBoost,Comportamentais + novas,Medio risco,0.8623095441730814,0.6217616580310881,0.5882352941176471
XGBoost,Comportamentais + novas,Alto risco,0.8606002622160802,0.7828162291169452,0.7922705314009661
