fold,AUC_Baixo risco,F1_Baixo risco,Recall_Baixo risco,AUC_Medio risco,F1_Medio risco,Recall_Medio risco,AUC_Alto risco,F1_Alto risco,Recall_Alto risco,AUC_macro,F1_macro,Recall_macro
1,0.9802997454991045,0.9116279069767442,0.9514563106796117,0.8946552814674257,0.6458333333333334,0.6078431372549019,0.8965240956757393,0.815347721822542,0.821256038647343,0.9238263742140899,0.7909363207108733,0.7935184955272856
2,0.9856097024538915,0.9245283018867925,0.9514563106796117,0.8666350411132195,0.6344086021505376,0.5784313725490197,0.883728054671851,0.8215962441314554,0.8454106280193237,0.9119909327463206,0.7935110493895952,0.7917661037493184
3,0.9755867659534359,0.8949771689497716,0.9514563106796117,0.8707147375079064,0.632768361581921,0.5490196078431373,0.8606810415930246,0.8037383177570093,0.8309178743961353,0.9023275150181224,0.7771612827629006,0.7771312643062948
4,0.9846436956659687,0.9223744292237442,0.9901960784313726,0.9000253823212132,0.7010309278350515,0.6666666666666666,0.8946196836222412,0.8264058679706602,0.8164251207729468,0.926429587203141,0.8166037416764853,0.824429288623662
5,0.9839139539310869,0.9032258064516129,0.9607843137254902,0.8599847706072721,0.6428571428571429,0.6176470588235294,0.8833238609453444,0.8166259168704156,0.8067632850241546,0.9090741951612346,0.7875696220597238,0.7950648858577248
6,0.9741100323624595,0.8767123287671232,0.9411764705882353,0.9073227996700298,0.6413043478260869,0.5784313725490197,0.8788718385905087,0.8114558472553699,0.821256038647343,0.9201015568743327,0.7764908412828601,0.7802879605948659
7,0.9886414112570595,0.92018779342723,0.9607843137254902,0.8942191763436766,0.6593406593406593,0.5882352941176471,0.8971061854693568,0.8243559718969555,0.8502415458937198,0.9266555910233643,0.8012948082216149,0.7997537179122857
8,0.9898470715146901,0.9142857142857143,0.9411764705882353,0.9018656006091758,0.7142857142857143,0.6862745098039216,0.9061759969688359,0.8365384615384616,0.8405797101449275,0.9326295563642338,0.8217032967032968,0.8226768968456947
9,0.9887683228631259,0.9245283018867925,0.9607843137254902,0.8569537258857647,0.676056338028169,0.6990291262135923,0.87632015155103,0.8060453400503779,0.7766990291262136,0.9073474000999736,0.8022099933217798,0.8121708230217654
10,0.9916555619011358,0.9478672985781991,0.9803921568627451,0.8583091665615938,0.5988700564971752,0.5145631067961165,0.879635330333886,0.8294930875576036,0.8737864077669902,0.9098666862655386,0.7920768142109926,0.7895805571419506
