,media,desvio_padrao
AUC_Baixo risco,0.9843076263401958,0.005976136576641536
F1_Baixo risco,0.9140315050433724,0.019296298875364496
Recall_Baixo risco,0.9589663049685895,0.015798867064409142
AUC_Medio risco,0.8810685682087277,0.020271135249060747
F1_Medio risco,0.6546755483735792,0.034290701456530535
Recall_Medio risco,0.6086141252617552,0.05990055468244678
AUC_Alto risco,0.8856986239421818,0.013135861648704941
F1_Alto risco,0.8191602776850851,0.010458124092125156
Recall_Alto risco,0.8283335678439098,0.026599058933569272
AUC_macro,0.9170249394970351,0.01016470586253682
F1_macro,0.7959557770340122,0.014927811516194047
Recall_macro,0.7986379993580848,0.016312713454102467
