,importancia
total_apostado,0.2043594801154028
numero_total_apostas,0.1254751877416282
total_perdas,0.0987722959253193
desvio_padrao_apostado,0.09498441316187264
media_apostas_por_produto,0.08535518194477777
total_dias_ativos,0.06826203149961241
media_diaria_apostada,0.060556173830394945
variedade_produtos,0.0586649492912294
intensidade_apostas_por_dia_ativo,0.0572762606749473
concentracao_apostas_dias_ativos,0.05624458580665603
taxa_perda_sobre_apostado,0.04589762104219597
tendencia_crescimento_apostado,0.04415181896596325
