Modelo,Classe,AUC,F1,Recall
Logistic Regression,Baixo risco,0.9506906622464283,0.780045351473923,0.8390243902439024
Logistic Regression,Medio risco,0.798908739586303,0.46105919003115264,0.3627450980392157
Logistic Regression,Alto risco,0.8731204894700164,0.7963800904977375,0.8502415458937198
Decision Tree,Baixo risco,0.9147407056594837,0.8710462287104623,0.8731707317073171
Decision Tree,Medio risco,0.70518150717476,0.5545023696682464,0.5735294117647058
Decision Tree,Alto risco,0.7315710522896661,0.7281672816728167,0.714975845410628
Random Forest,Baixo risco,0.9824769121477623,0.8930232558139535,0.9365853658536586
Random Forest,Medio risco,0.8878646773733727,0.7005347593582888,0.6421568627450981
Random Forest,Alto risco,0.896356731984456,0.8408551068883611,0.855072463768116
XGBoost,Baixo risco,0.9852119346436183,0.8988235294117647,0.9317073170731708
XGBoost,Medio risco,0.8921806202287053,0.7012987012987013,0.6617647058823529
XGBoost,Alto risco,0.8907846402796971,0.8325358851674641,0.8405797101449275
