variavel,shap_medio_abs_geral,shap_medio_abs_baixo_risco,shap_medio_abs_medio_risco,shap_medio_abs_alto_risco
total_apostado,0.74162984,1.3225597,0.5768757,0.32545418
numero_total_apostas,0.2286641,0.22466274,0.14585166,0.31547788
variedade_produtos,0.17698294,0.4011302,0.073149234,0.05666939
desvio_padrao_apostado,0.12943958,0.21383308,0.078775905,0.09570974
total_perdas,0.11546379,0.1042477,0.07872115,0.16342254
total_dias_ativos,0.08696266,0.18739939,0.025326176,0.048162416
concentracao_apostas_dias_ativos,0.085905135,0.15189125,0.048298333,0.057525817
intensidade_apostas_por_dia_ativo,0.055794995,0.011106482,0.06579559,0.0904829
taxa_perda_sobre_apostado,0.05316857,0.012772003,0.10451138,0.042222325
media_diaria_apostada,0.047446877,0.0154251745,0.06876108,0.05815438
media_apostas_por_produto,0.026290974,0.010855618,0.03238275,0.035634547
tendencia_crescimento_apostado,0.021657327,0.019791823,0.0101623945,0.03501777
