Fase,Classe,AUC,F1,Recall,Modelo
Random Forest - Antes,Baixo risco,0.9824769121477623,0.8930232558139535,0.9365853658536586,Random Forest
Random Forest - Antes,Medio risco,0.8878646773733727,0.7005347593582888,0.6421568627450981,Random Forest
Random Forest - Antes,Alto risco,0.896356731984456,0.8408551068883611,0.855072463768116,Random Forest
Random Forest - Depois,Baixo risco,0.9733443839292762,0.8616780045351474,0.926829268292683,Random Forest
Random Forest - Depois,Medio risco,0.8696268491241408,0.3895131086142322,0.2549019607843137,Random Forest
Random Forest - Depois,Alto risco,0.8786482879179807,0.7931769722814499,0.8985507246376812,Random Forest
XGBoost - Antes,Baixo risco,0.9852119346436183,0.8988235294117647,0.9317073170731708,XGBoost
XGBoost - Antes,Medio risco,0.8921806202287053,0.7012987012987013,0.6617647058823529,XGBoost
XGBoost - Antes,Alto risco,0.8907846402796971,0.8325358851674641,0.8405797101449275,XGBoost
XGBoost - Depois,Baixo risco,0.987962743705107,0.9129411764705883,0.9463414634146341,XGBoost
XGBoost - Depois,Medio risco,0.9050096613766669,0.7225130890052356,0.6764705882352942,XGBoost
XGBoost - Depois,Alto risco,0.9052596766001677,0.8438617401668653,0.855072463768116,XGBoost
