Modelo,Fase,Classe,AUC,F1,Recall
Random Forest,Antes,Baixo risco,0.9808114294735181,0.8946135831381733,0.9317073170731708
Random Forest,Antes,Medio risco,0.8680034210776395,0.6701298701298701,0.6323529411764706
Random Forest,Antes,Alto risco,0.8714491572469674,0.8129496402877698,0.8188405797101449
Random Forest,Depois,Baixo risco,0.981663904017681,0.8990825688073395,0.9560975609756097
Random Forest,Depois,Medio risco,0.8752019386106623,0.6589327146171694,0.696078431372549
Random Forest,Depois,Alto risco,0.8808688565252827,0.7830551989730423,0.7367149758454107
XGBoost,Antes,Baixo risco,0.9814981450785382,0.8862559241706162,0.9121951219512195
XGBoost,Antes,Medio risco,0.8623095441730814,0.6217616580310881,0.5882352941176471
XGBoost,Antes,Alto risco,0.8606002622160802,0.7828162291169452,0.7922705314009661
XGBoost,Depois,Baixo risco,0.9826505643697213,0.9166666666666666,0.9658536585365853
XGBoost,Depois,Medio risco,0.8773401121353227,0.6666666666666666,0.6176470588235294
XGBoost,Depois,Alto risco,0.8837036249601362,0.8181818181818182,0.8260869565217391
